Id,Valor 1,Valor 2,Valor 3,Valor 4,Valor 5
1,CHTNL,FKGJV,ONATX,CSXKB,NHXQD
2,MMSEH,MHJZH,EOGEM,SXSGP,YBEXT
3,XJKJS,QGYJR,SACSP,GGHKV,NRTIF
4,PFYAV,CWUEB,QUFJA,LAPAE,XJMIZ
5,BNIDW,UAXIN,KIIZI,TZIXO,FDQXO
6,SITKH,QFTAE,RWKZG,LVKAD,POMFI
7,LGVVP,FKANQ,BZIMZ,SBPDS,VJRTF
8,SVIMQ,JTKZM,DBJAK,ENVOB,TDWBJ
9,VXRTZ,SCPGC,FMFZD,ZELDS,RQHHH
10,TTSYA,IKZTP,ABPPN,SSNFL,AKTOL
11,LKEDJ,IFKJT,SZUQI,KPPOB,WRIAZ
12,INMVN,YHYCL,UAFFP,TKUOK,WOWNL
13,FPXZK,RWQNQ,JERXR,MWKAW,BNRAF
14,LXSWB,KDNGQ,CQGKI,NZKVD,IUIQF
15,HEAMQ,BOOER,JCERA,NODJM,CCNVM
16,IKQDE,MSFKW,KPNJV,KAWEC,DUVSS
17,OBCDT,QBOAO,JYKBC,RQZPQ,WSWLG
18,DXIZJ,WVIAC,ODLSC,FYCQV,EIDBI
19,YSTYL,JFNFN,GWKNA,BYNOH,RDOBT
20,ZKLHW,FQCGI,QNWFP,XYIYC,APZZX
21,IMACP,JTYIP,BTLYO,ITHRD,RUGVY
22,GEXQH,ILFTB,KSZUV,BGUXB,ADDLD
23,CLZED,DUPLN,NYHLY,XXLYE,XPGHB
24,TKZMC,PRHBI,TUPML,IRISW,GLWAP
25,JMWUU,SFUUJ,RXWOY,GDSZU,OVULK
26,NYITK,EHUUP,FBYHP,WQQWW,EQRXG
27,OFCCI,NECXJ,NDKIP,QBCKC,WRPGK
28,JDHFN,EOVOJ,WSLIV,UNXXH,MKMQV
29,EBGQL,WVOQF,AMVHR,KRVKQ,FQGJU
30,MYFMY,KNYET,TQURO,MXSCE,EJZQZ
31,ZZBGV,ZUCJF,LNOBU,RQSLM,ITQBH
32,SAZIE,QVFYY,CTJKA,MTQFS,WMVQK
33,JSQYI,YMYQJ,PNAFI,UCFOH,ZNFLF
34,FALEY,CJPAC,MAORJ,CKCVN,LEPNY
35,NMRHG,WYYSI,NHQML,KZKMH,QXOSI
36,VBJTO,HVEIU,EBFME,RJXKC,STFTW
37,OHXTL,UTKJR,OIBPU,OTDWU,YYTYM
